diggCount,followerCount,followingCount,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,nickname,openFavorite,signature,stitchSetting,uniqueId,verified,fake
418,2,572,0,0,0,0,0,Tik Toker,False,No bio yet,0,hajidutytacemo,False,True
451,3,698,0,0,0,0,0,Tik Toker,False,No bio yet,0,kicohunufoguje,False,True
355,57,9940,0,0,0,0,0,qmjsuprfb45641opwtc,True,,0,qmjsuprfb45641opwtc,False,True
245,2,556,0,0,0,0,0,Tik Toker,False,No bio yet,0,ijebajiryg779,False,True
359,0,567,0,0,0,0,0,Tik Toker,False,No bio yet,0,avyfetixecokus,False,True
405,173,105,0,0,0,0,0,enzafontana6,False,,0,enzafontana6,False,False
761,194,114,0,0,0,0,0,Talya Pereira940,False,,0,talyapereira940,False,False
9519,8200000,872,534700000,1876,0,0,0,Bobby Moore,False,📧 Bobby@studio71creator.com,0,bobbymoore44,True,False
365,2,553,0,0,0,0,0,Tik Toker,False,No bio yet,0,asupofoduhe372,False,True
169,199,213,197,16,0,0,0,angeladasilvia,False,,0,angeladasilvia,False,False
370,0,519,0,0,0,0,0,Tik Toker,False,No bio yet,0,fagivefefu915,False,True
221,3000000,1,34600000,274,0,0,0,The F2,False,⬇️ SHOOTING VS PRO KEEPER ⬇️,0,f2,True,False
329,0,539,0,0,0,0,0,Tik Toker,False,No bio yet,0,bevujybajoki235,False,True
130,25,42,0,0,0,0,0,Andrea Petrecca492,False,,0,andreapetrecca492,False,False
285,456,599,31,1,0,0,0,cloudyxx,False,"✦: ⌗ marty 🌷✿
⤷‧₊˚ :: stay safe!🎀
— not impersonating🩰 <3",0,.cloudyxxx_,False,False
560,2,547,0,0,0,0,0,Tik Toker,False,No bio yet,0,epemihiwyjis638,False,True
332,2,749,0,0,0,0,0,Tik Toker,False,No bio yet,0,onidocaquxyco,False,True
353,2,530,0,0,0,0,0,Tik Toker,False,No bio yet,0,lymyrylyra138,False,True
256,1,562,0,0,0,0,0,Tik Toker,False,No bio yet,0,cicagudukygav,False,True
2126,560,3630,60,2,0,3,3,@brancasantos,False,Rei do carro,3,user38669662726132,False,False
297,0,539,0,0,0,0,0,Tik Toker,False,No bio yet,0,iqavesetefoca,False,True
9,2448,5,34400,95,0,0,0,L'INTERISTA ⚫🔵,False,Curva Nord Milano è casa mia!!🖤💙🖤💙,0,gerry90cn69,False,False
8,539,809,3,2,0,0,0,Romaroma,False,,0,maurizioroma41,False,False
430,0,620,1,0,0,0,0,Tik Toker,False,No bio yet,0,maxokalaherer,False,True
275,61,9654,0,0,0,0,0,LORETTA,True,,0,pgyiyqmc2058270fapgqy,False,True
6539,1383,271,74500,93,0,3,0,😍🐐🇵🇹,False,"cel:1000 obs do wakacji☑️
cel:2000 obs do wakacji
cel:3000 obs do końca roku",0,gimbek535,False,False
437,2,548,0,0,0,0,0,Tik Toker,False,No bio yet,0,inykegajewykud,False,True
42,990,1146,144,5,0,0,0,subway_surf,False,,0,subway_surf1029,False,False
8576,912,160,686,38,0,3,3,GabrieleFerreli98,False,Sardinia❤💙,3,gabrieleferreli,False,False
2966,90,149,0,0,0,0,0,Xeniã Chierchiã,False,,0,xenia.chierchia,False,False
32700,1000,1374,673,53,0,3,0,luca74,False,forza Napoli 💙,0,luca19741,False,False
351,5,688,0,0,0,0,0,Tik Toker,False,No bio yet,0,omotokihobe598,False,True
291,2,689,0,0,0,0,0,Tik Toker,False,No bio yet,0,coqemipebezaj,False,True
75,935,12,34,0,0,0,0,😜💣💣,False,,0,giordano_carlo,False,False
36100,1892,101,97400,1,0,3,0,☆,False,..,0,._.6q,False,False
412,0,572,0,0,0,0,0,Tik Toker,False,No bio yet,0,otokyletowaq313,False,True
228,980,189,60,1,0,0,0,Mimi,False,🦚,0,bgmama08,False,False
179,48,52,0,0,0,0,0,jolanda zaccaria,False,,0,jolandazaccaria,False,False
2111,787,2587,0,0,0,0,0,user4212242456414,False,,0,user4212242456414,False,False
297,1,526,0,0,0,0,0,Tik Toker,False,No bio yet,0,ywapukijirade,False,True
358,1,521,0,0,0,0,0,Tik Toker,False,No bio yet,0,amulemivune523,False,True
356,579,374,572,30,0,0,0,Assunta Ranieri,False,❤️,0,assuntaranieri,False,False
486,349300,174,20300000,1027,0,0,0,VERSUS,False,The coldest moments in football and culture 🤝,0,vsrsus,True,False
228,2125,13,145400,14,0,0,0,Footballskillz,False,"Football edits 
Road to 100k
😮💨
Spam like = block ❌",0,footballsk1llz_,False,False
0,19,304,0,0,0,0,0,Tik Toker,False,No bio yet,0,algerarowli,False,True
0,3,532,0,11,0,0,0,micnisualnywhi,False,,0,micnisualnywhi,False,True
441,1,715,0,0,0,0,0,Tik Toker,False,No bio yet,0,zyrucyhatu148,False,True
2854,944,129,7795,38,0,3,3,Francesca Campanelli,False,💙,3,kekka_campanelli,False,False
62,151,362,41,1,0,0,0,sconosciuto00373,False,2 account. Primo account @sconosciuto00372,0,sconosciuto00373,False,False
439,0,715,0,0,0,0,0,Tik Toker,False,No bio yet,0,bapolugawuz208,False,True
33,132,179,288,14,0,0,0,Quartieri Spagnoli LU,False,Unsere Pizza Napoletana wird für Dich individuell von Hand zubereitet. Napoli,0,quartierispagnoli22,False,False
383,2,531,0,0,0,0,0,Tik Toker,False,No bio yet,0,atafewyhuny215,False,True
420,2,714,0,0,0,0,0,Tik Toker,False,No bio yet,0,gozatejacumor,False,True
860,10900,31,481800,89,0,0,0,fragrance fanatic,False,"Instagram - fragrance_fanatic06 DMs are open 
The best fragrance samples ⬇️",0,fragrance_fanatic,False,False
0,66,0,0,0,0,0,0,TendenzeModa Nola,False,,0,tendenzemodanola,False,False
104100,905,1973,25900,11,0,3,1,.,False,"Ig :niko.let_
124❤️
✝️❤️",1,niko.let_,False,False
45,149100,103,7000000,218,0,0,0,Comingsoon.it,True,La tua fonte di informazione e intrattenimento sul cinema e le serie TV!,0,comingsoon.it,True,False
518,4,548,0,0,0,0,0,Tik Toker,False,No bio yet,0,ojuzeqewuwury,False,True
315,1,559,0,0,0,0,0,Tik Toker,False,No bio yet,0,bijuwosifo123,False,True
347,0,538,0,0,0,0,0,Tik Toker,False,No bio yet,0,coleqabopide888,False,True
943,6202,18,738500,75,0,0,0,alex,False,"🔴visca el barça 🔵
🇦🇷la scaloneta🇦🇷
⭐️⭐️⭐️",0,thealexpolaniashow,False,False
1,4065,13,17700,18,0,0,0,نواف العقيّل,False,"اعلامي سعودي 🇸🇦⚽️
.
.
.
افضل سناب يغطي الدوري الانجليزي 👇🏻",0,nawaf_oga,False,False
92,17,18,0,0,0,0,0,raimundomorais758,False,,0,raimundomorais758,False,False
452,58,7997,0,0,0,0,0,user67442750911,True,No bio yet,0,pujxmvr62331apqe,False,True
13500,2600000,649,194700000,4866,0,0,0,Davisuuarez,False,"INSTA ↗️
Futbol y Humor
VIVO EN MI PRIME 😎
📬davisuuarez@tkers.es",0,davisuuarez2,True,False
110,1000000,72,41700000,1128,0,0,0,VOGUE Germany,False,The official TikTok of VOGUE Germany,0,voguegermany,True,False
348,1,544,0,0,0,0,0,Tik Toker,False,No bio yet,0,cadymuxabu419,False,True
772,142,306,4,1,0,0,0,Andrea Ferraro5620,False,,0,andreaferraro5620,False,False
150,1900000,80,10000000,32,0,0,0,Quevedo,False,,0,quevedoyouknow,True,False
1439,67,9988,0,0,0,0,0,Katherine,True,,0,xdyblgbd305619hedy,False,True
0,1,532,0,11,0,0,0,faibatpastsaka,False,,0,faibatpastsaka,False,True
28,25,21,0,0,0,0,0,marianapolitano106,False,,0,marianapolitano106,False,False
640,3,577,0,0,0,0,0,Tik Toker,False,No bio yet,0,xeverahawurag,False,True
1074,1500000,0,11900000,39,0,0,0,Rels B,False,Skini kini,0,skinnyflakk,True,False
0,2,263,0,0,0,0,0,Tik Toker,False,No bio yet,0,lisrapeptofe,False,True
5124,164,152,22,1,0,0,0,gessicanabate45,False,,0,gessicanabate,False,False
3362,335,902,127,7,0,0,0,Francesco de Falco,False,,0,francedef,False,False
272,3,572,0,0,0,0,0,Tik Toker,False,No bio yet,0,fuwanokuwazer,False,True
379,0,549,0,0,0,0,0,Tik Toker,False,No bio yet,0,agukovakyguqog,False,True
4071,733,2468,1805,60,1,3,3,MdMarufSk05,False,MdMarufSk05,3,mdmarufsk05,False,False
17,336,4,3879,137,0,0,0,Sergio Jockdan,False,СЛАВА УКРАЇНІ 🇺🇦,0,sergiojockdan,False,False
392,717,815,1303,22,0,0,0,Abo Gbl,False,,0,abogbl0,False,False
371,1,601,0,0,0,0,0,Tik Toker,False,No bio yet,0,miholuseqa750,False,True
373,1,535,0,0,0,0,0,Tik Toker,False,No bio yet,0,erusagitabihy,False,True
294,2,520,0,0,0,0,0,Tik Toker,False,No bio yet,0,hejusumeqasy817,False,True
0,3,270,1,0,0,0,0,Tik Toker,False,No bio yet,0,zdejeninfarbard,False,True
349,0,694,0,0,0,0,0,Tik Toker,False,No bio yet,0,ubyqecimij558,False,True
685,10000,34,309800,185,0,0,0,B43,False,"Liverpool❤️
Red/lads🟥
Finland🇫🇮💙",0,bajcetic.aep,False,False
4,696,125,11700,62,0,0,0,MrRexCasino.com,False,The World 🌎 Leading Playhouse🎲 MrRex.com🤵Fully Licensed and Regulated👩‍🎓,0,mrrex_casino_sports,False,False
413,8532,43,571200,67,0,0,0,🫡,False,"girl 
CR7  & madrid ❤️‍🩹
backup/editing : 7sbullet",0,cr7seuro,False,False
315,1,709,0,0,0,0,0,Tik Toker,False,No bio yet,0,ugylocanut660,False,True
0,2,249,0,0,0,0,0,Tik Toker,False,No bio yet,0,sangpornnalviting,False,True
264,3,535,0,0,0,0,0,Tik Toker,False,No bio yet,0,eqyhanefazulev,False,True
5,94,13,0,0,0,0,0,Italia Vona,False,,0,italiavona,False,False
1223,517,1520,141,7,0,0,0,Angelo Nappi,False,,0,angelonappi2,False,False
283,1,739,0,0,0,0,0,Tik Toker,False,No bio yet,0,xagibazipe898,False,True
0,319,962,134,5,0,0,0,NORA MARINELLI,False,No bio yet,0,marinelli40,False,False
65,82,41,231,157,0,0,0,Diabolik,False,,0,alfonsopiscitelli60,False,False
2264,1521,39,232800,48,0,3,3,Lexi,False,Clinically insane💞,3,dontlexime,False,False
161,36,6975,0,0,0,0,0,user07499690321,True,No bio yet,0,xbetnoq91306qra,False,True
33,294,13,22800,6,0,0,0,fifa🔛🔝,False,"50✅
100✅
200✅
500❌
1000❌",0,fifa_rtg193,False,False
4269,122,208,146,12,0,0,0,Domenico Piscitelli,False,"Despar Roccarainola (Na) 
80030",0,domenicopiscitel,False,False
338,1,561,0,0,0,0,0,Tik Toker,False,No bio yet,0,rybawohanisij,False,True
342,2,557,0,0,0,0,0,Tik Toker,False,No bio yet,0,ohinipyjufurav,False,True
6479,445,647,1487,189,0,0,0,Fenizia Moschiano,False,,0,feniziamoschiano,False,False
245,1,709,0,0,0,0,0,Tik Toker,False,No bio yet,0,eliloniqeqyf751,False,True
344,1,522,0,0,0,0,0,Tik Toker,False,No bio yet,0,tamosukiqohy987,False,True
1625,6794,12,209500,26,0,3,1,🦅⚽🦅,False,1k✅ 10k🔒,1,bubax06,False,False
31200,503,217,40,0,0,0,0,ANNA,False,Simpaticissima e solare,0,annavit1983,False,False
1092,119,171,38,1,0,0,0,asadojla3,False,,0,asadojla3,False,False
0,1,533,0,11,0,0,0,ultefineaxe,False,,0,ultefineaxe,False,True
29,31,15,0,0,0,0,0,carol,False,,0,iole569,False,False
2271,861,560,349,79,0,0,0,ZetaParfumOfficial,False,Zetaparfum #Zetaparfum linea di prodotti italiani bio www.zetaparfum.com organic,0,zetaparfumofficial,False,False
0,11,5,0,0,0,0,0,dottpietromazzocc,False,,0,dottpietromazzocc,False,False
350,2,724,0,0,0,0,0,Tik Toker,False,No bio yet,0,ewazacaryfi367,False,True
574,147,364,0,0,0,0,0,vittoriocardarop5,False,,0,vittoriocardarop5,False,False
368,2,538,0,0,0,0,0,Tik Toker,False,No bio yet,0,ezoxovywon918,False,True
115,1300000,16,14600000,783,0,0,0,Fluminense F.C.,False,"Guerreiros Desde 1902
#SejaSócio
nense.com.br",0,fluminensefc,True,False
93,31,4748,0,0,0,0,0,user76998576803,True,No bio yet,0,ymiruend397728tpliyh,False,True
381,58,9948,0,0,0,0,0,mvqguc823220qskyhv,True,,0,mvqguc823220qskyhv,False,True
380,2,532,0,0,0,0,0,Tik Toker,False,No bio yet,0,okuhewyvobifiw,False,True
496,2,584,0,0,0,0,0,Tik Toker,False,No bio yet,0,ycesukuzafudu,False,True
344,2,628,2,0,0,0,0,Tik Toker,False,No bio yet,0,takyxikyfa704,False,True
427,1,729,0,0,0,0,0,Tik Toker,False,No bio yet,0,fymypyzyfeg939,False,True
331,1,676,0,0,0,0,0,Tik Toker,False,No bio yet,0,yfitagowoq775,False,True
390,66,9971,0,0,0,0,0,rlavludh867662nbjpqf,True,,0,rlavludh867662nbjpqf,False,True
312,1,545,0,0,0,0,0,Tik Toker,False,No bio yet,0,olivegofujun820,False,True
3056,2899,1233,44200,3,0,3,3,Daily Content,False,Funny Content,3,dayatchelseafc,False,False
392,0,593,0,0,0,0,0,Tik Toker,False,No bio yet,0,qymefyxywamib,False,True
422,64,9945,0,0,0,0,0,bnzpfkuqsn6022plkzce,True,,0,bnzpfkuqsn6022plkzce,False,True
343,3,760,0,0,0,0,0,Tik Toker,False,No bio yet,0,idajybyxuwodug,False,True
369,1,752,0,0,0,0,0,Tik Toker,False,No bio yet,0,xoxylejoxysaqe,False,True
2298,102,46,222,2,0,0,0,1️⃣4️⃣,False,🥷❗️,0,pietromargarita,False,False
975,2181,10,31600,364,0,0,0,Haythem Shika Algaza,False,,0,haythemshikaalgazal,False,False
0,7,322,0,0,0,0,0,Tik Toker,False,No bio yet,0,wayblocomtiter,False,True
377,58,7867,0,0,0,0,0,user23076092768,True,No bio yet,0,flhhokjrd03631nxt,False,True
218,0,504,0,0,0,0,0,Tik Toker,False,No bio yet,0,pareguwoni531,False,True
362,4,540,0,0,0,0,0,Tik Toker,False,No bio yet,0,tyjymifovefexe,False,True
379,0,529,0,0,0,0,0,Tik Toker,False,No bio yet,0,likutivehypoqo,False,True
56,1710,0,96100,36,0,0,0,❤️⚽️🏟,False,Liverpool fan ❤️🔥,0,lfc4life070,False,False
51900,287,495,2018,61,0,0,0,Rosa Passariello878,True,,0,rosapassariello28,False,False
14000,413,329,2687,13,0,0,0,Fernandagonzalez,False,,0,fernandagonzalezy30,False,False
0,3,531,0,11,0,0,0,abimsilelu,False,,0,abimsilelu,False,True
26,634,679,1,0,0,3,3,T ABULTA LA NIEBLA,False,No spam,3,hasta_la_feria,False,False
2239,1359,185,11000,161,0,0,0,أمـــير القلـــــم,False,"ابتسم 😊 فلن يتغير العالم بـ حزنك😌
      🇱🇾خطاط ليبي 🇱🇾",0,pen_gt9,False,False
3128,2792,225,53600,88,0,0,0,hamzaben905,False,,0,hamzaben905,False,False
465,5,551,0,0,0,0,0,Tik Toker,False,No bio yet,0,urygufisipa892,False,True
381,2,728,0,0,0,0,0,Tik Toker,False,No bio yet,0,kulahomihogam,False,True
243,271,665,15,2,0,0,0,prosperogardini10,False,,0,prosperogardini10,False,False
279,206700,18,2500000,116,0,0,0,Ofenbach,False,"Album, Concerts & More :",0,ofenbach,True,False
265,134,81,0,0,0,0,0,gaspareaschettino,False,,0,gaspareaschettino,False,False
159,806,469,0,0,0,0,0,Aereonautica Spagnola[🇪🇸✈],False,"Game:💣Italian Role Play💣
🏴PARTECIPE-INDIPENDENTE🚩",0,timor.ovest.ball,False,False
700,309,10,9766,17,0,0,0,leb_issa,False,"حساب الاحتياط
بث مباشر",0,lebb_issa,False,False
610,2,615,0,0,0,0,0,Tik Toker,False,No bio yet,0,ekekabyquxaru,False,True
360,3,546,0,0,0,0,0,Tik Toker,False,No bio yet,0,lizyxezoluzede,False,True
1,708,19,12,3,0,0,0,Linda Olivieri,False,,0,lindaolivieri,False,False
1283,84,8708,0,0,0,0,0,FLORENCE,True,,0,aplmbcr51167qygub,False,True
386,0,534,0,0,0,0,0,Tik Toker,False,No bio yet,0,otegyhoqajix847,False,True
281,1,543,2,0,0,0,0,Tik Toker,False,No bio yet,0,zyvabojudodi652,False,True
140,121,357,1074,169,0,0,0,FEDAYN80,False,,0,fedayn1980,False,False
312,2,728,0,0,0,0,0,Tik Toker,False,No bio yet,0,sesewociqowa424,False,True
294,1,597,10,0,0,0,0,Tik Toker,False,No bio yet,0,jemytomucub822,False,True
253,1,553,0,0,0,0,0,Tik Toker,False,No bio yet,0,tozewazocixen,False,True
313,0,567,0,0,0,0,0,Tik Toker,False,No bio yet,0,ulymoqixegeb483,False,True
429,2,621,0,0,0,0,0,Tik Toker,False,No bio yet,0,ufekylyrotiji,False,True
8727,699,446,2682,61,0,0,0,framor✅🫀,False,,0,framor1.p,False,False
348,1,713,0,0,0,0,0,Tik Toker,False,No bio yet,0,wipiryrezylag,False,True
49,110,3,0,0,0,0,0,jaqueanecosta762,False,,0,jaqueanecosta762,False,False
4,602800,3,4700000,24,0,0,0,Gerry Scotti,False,Vi vedo che fate i meme con la mia faccia 👀,0,loziogerry,True,False
21700,947200,126,102400000,3677,0,0,0,🇳🇱 BEAU 🇳🇱,False,"💜 Stay Positive 💜
🇳🇱 Hollands Got Talent 2020 🇳🇱
✨Info@beaupotman.nl✨",0,beaupotman_,True,False
323,2,709,0,0,0,0,0,Tik Toker,False,No bio yet,0,yluhenevotunym,False,True
0,1,509,0,11,0,0,0,alrgeromtaoburg,False,,0,alrgeromtaoburg,False,True
415,3,546,0,0,0,0,0,Tik Toker,False,No bio yet,0,ohyhohevyrovyd,False,True
238,219,462,242,53,0,0,0,Vincenzo Scibelli,False,,0,vinenzoosteria.5,False,False
22500,223,207,0,0,0,0,0,rosanotaro135,False,,0,rosanotaro135,False,False
7005,172,78,47300,1,0,0,0,SR20DET,False,Opium🦇,0,xsr20det,False,False
521,1,549,0,0,0,0,0,Tik Toker,False,No bio yet,0,tahosojody583,False,True
10,78,50,0,0,0,0,0,Antonella Ferraro,False,,0,antonellaferraro1027,False,False
421,1,711,0,0,0,0,0,Tik Toker,False,No bio yet,0,godituponog333,False,True
2638,706,3466,176,19,0,0,0,mercyobaro,False,say hi 😍💞😍,0,mercyr11,False,False
39700,394,625,513,12,0,0,0,lyeszabechi,False,,0,lyeszabechi,False,False
262,3,706,0,0,0,0,0,Tik Toker,False,No bio yet,0,bybegovocyju176,False,True
345,118,288,0,0,0,0,0,mariomaffettone69,False,,0,mariomaffettone69,False,False
615,1808,27,40800,169,0,0,0,Али,False,"2000под😉
50к лайк😉",0,alikhan..ftblvs1,False,False
345,0,519,0,0,0,0,0,Tik Toker,False,No bio yet,0,kupekahocuki927,False,True
704,2800000,12,36300000,529,0,0,0,Dr Cody,False,Who wants to get CRACKED next?,0,drcody_dc,True,False
846,193,222,86,0,0,0,0,Peppeubarbiere,False,,0,peppeubarbiere,False,False
529,3,551,0,0,0,0,0,Tik Toker,False,No bio yet,0,rigoxexulibe945,False,True
449,2,722,0,0,0,0,0,Tik Toker,False,No bio yet,0,etopimyxog766,False,True
288,2,508,0,0,0,0,0,Tik Toker,False,No bio yet,0,fykogowuzocida,False,True
472,911,850,3526,78,0,3,3,HAYDAY858,False,"tag vicinato#LY8UYPUQ
nome vicinato:fattoria
i nostri tag: *PVVVLQPG8 *280Y89929",3,hayday858,False,False
372,63,9971,0,0,0,0,0,xtehyhpaj6526914etd,True,,0,xtehyhpaj6526914etd,False,True
470,4,526,0,0,0,0,0,Tik Toker,False,No bio yet,0,bisizuhixipy509,False,True
382,1,498,0,0,0,0,0,Tik Toker,False,No bio yet,0,tukakodeqy105,False,True
407,1,580,0,0,0,0,0,Tik Toker,False,No bio yet,0,zotupyjivakab,False,True
368,3,553,0,0,0,0,0,Tik Toker,False,No bio yet,0,xufumudagimyh,False,True
57,93,198,7,1,0,0,0,alcimarazevedos62,False,,0,alcimarazevedos62,False,False
5692,3200000,194,124600000,1728,0,0,0,Keen’V,False,Mon nouveau single feat DJ KAWEST est dispo ici  ⬇️,0,keenvsurtiktok,True,False
131400,174,979,0,0,0,0,0,silia bilia,False,,0,siliabilia0,False,False
7137,280,1332,142,12,0,0,0,abdulahad8755,False,,0,abdulahad8755,False,False
360,0,571,0,0,0,0,0,Tik Toker,False,No bio yet,0,ahyhelokunu297,False,True
311,0,617,0,0,0,0,0,Tik Toker,False,No bio yet,0,botysonynowe631,False,True
313,2,505,0,0,0,0,0,Tik Toker,False,No bio yet,0,keronyjejaroqe,False,True
341,2,569,0,0,0,0,0,Tik Toker,False,No bio yet,0,xixemuxufebuca,False,True
497,5,695,0,0,0,0,0,Tik Toker,False,No bio yet,0,lizysymupumawo,False,True
0,3,533,0,11,0,0,0,cornasilhamppough,False,,0,cornasilhamppough,False,True
5038,32,34,0,0,0,0,0,francesca,False,,0,francescacaraviel,False,False
123,2291,372,64400,24,0,0,0,Respect,False,"10k pls 🙏 
Messi and ronaldo fan🐐",0,mrnooripadar1,False,False
50000,1691,1173,78600,54,0,0,0,Samuel,False,,0,sl4mz3,False,False
284,903,1246,39,1,0,0,0,Giubasco2,False,,0,giubasco2,False,False
11,18,14,0,0,0,0,0,mery,False,,0,meryyferraro,False,False
49100,2420,33,115600,58,0,0,0,Casino,False,"Play the best Casino, Sportsbook, and Poker Available everywhere!",0,cashcounterbetting,False,False
